customer_id,gender,age,region,customer_segment,contract_type,tenure_months,monthly_fee,total_spent,internet_service,tv_service,streaming_service,support_calls,complaints,payment_method,last_payment_delay,digital_usage_score,marketing_score,preferred_contact_hour,internal_campaign_code,churn
NT-000001,Masculino,28.0,Lima,Masivo,Anual,40,114.04,3812.5,Fibra,Sí,No,0,1,Transferencia,2,90.4,69.5,20,CMP-D,0
NT-000002,Femenino,50.0,Norte,Masivo,Anual,12,115.97,1468.32,Fibra,No,Sí,1,1,Transferencia,1,63.7,64.2,17,CMP-D,0
NT-000003,Masculino,38.0,Lima,Joven digital,Mensual,32,114.42,3128.82,Fibra,Sí,No,2,0,Tarjeta,5,94.5,63.1,10,CMP-D,1
NT-000004,Masculino,34.0,Norte,Joven digital,Anual,54,41.89,2037.76,Sin internet,No,No,1,1,Tarjeta,5,33.3,53.0,12,CMP-C,0
NT-000005,Femenino,37.0,Lima,Joven digital,Bianual,9,91.54,790.1,Fibra,No,No,2,1,Tarjeta,2,73.8,85.7,12,CMP-B,0
NT-000006,Masculino,41.0,Lima,Familia,Mensual,13,84.34,1062.65,Fibra,No,No,0,0,Débito automático,10,70.5,49.0,19,CMP-A,0
NT-000007,Masculino,46.0,Norte,Masivo,Mensual,41,90.04,3096.62,Fibra,No,No,1,0,Efectivo,1,78.9,79.0,14,CMP-C,0
NT-000008,Masculino,25.0,Lima,Masivo,Mensual,42,82.11,3061.5,,No,No,4,2,Transferencia,8,88.1,76.3,19,CMP-B,1
NT-000009,Femenino,24.0,Centro,Masivo,Mensual,69,86.39,4985.38,Fibra,No,No,1,0,Transferencia,16,55.6,57.1,16,CMP-A,0
NT-000010,Femenino,52.0,Lima,Masivo,Anual,33,90.8,,DSL,No,Sí,2,0,Transferencia,11,71.9,76.9,12,CMP-D,0
NT-000011,Femenino,33.0,Lima,Joven digital,Mensual,34,110.94,3858.1,Fibra,No,Sí,1,0,Efectivo,9,98.4,67.7,13,CMP-B,0
NT-000012,Masculino,20.0,Lima,Familia,Anual,16,114.58,1566.49,DSL,Sí,No,1,0,Transferencia,1,97.2,,18,CMP-C,0
NT-000013,Masculino,44.0,Norte,Familia,Mensual,70,81.89,5787.88,Fibra,No,No,2,1,Tarjeta,9,82.6,52.7,14,CMP-D,0
NT-000014,Masculino,44.0,Lima,Joven digital,Mensual,73,92.87,6814.46,Fibra,No,No,3,0,Débito automático,3,73.1,73.7,16,CMP-B,1
NT-000015,Femenino,18.0,Sur,Masivo,Mensual,30,99.19,2659.87,Fibra,No,Sí,2,1,Débito automático,7,52.9,69.4,9,CMP-D,1
NT-000016,Femenino,41.0,Lima,Masivo,Bianual,18,123.51,1781.26,Fibra,Sí,Sí,0,0,Tarjeta,1,99.4,78.0,13,CMP-C,0
NT-000017,Masculino,48.0,Norte,Masivo,Anual,30,90.88,2358.37,Fibra,No,No,1,1,Tarjeta,4,83.1,66.9,15,CMP-C,1
NT-000018,Femenino,43.0,Norte,Masivo,Mensual,32,116.6,3351.86,Fibra,Sí,No,0,0,Tarjeta,4,71.7,62.4,12,CMP-B,0
NT-000019,Masculino,46.0,Lima,Familia,Anual,17,85.95,1531.16,DSL,No,Sí,2,0,Tarjeta,12,37.7,59.6,19,CMP-D,0
NT-000020,Masculino,20.0,Norte,Joven digital,Mensual,19,103.28,1828.33,DSL,Sí,Sí,1,0,Tarjeta,1,56.0,39.4,10,CMP-A,0
NT-000021,Masculino,42.0,Lima,Masivo,Mensual,73,38.13,2420.31,,No,No,3,1,Efectivo,9,71.5,65.7,19,CMP-C,1
NT-000022,Femenino,34.0,Lima,Masivo,Mensual,45,99.39,4250.49,Fibra,No,Sí,1,1,Débito automático,5,77.3,72.7,8,CMP-D,0
NT-000023,Masculino,32.0,Lima,Masivo,Bianual,26,81.13,1791.55,DSL,Sí,No,2,1,Transferencia,8,32.8,63.8,13,CMP-A,0
NT-000024,Masculino,49.0,Sur,Premium,Anual,14,136.56,1865.96,DSL,Sí,Sí,1,0,Tarjeta,3,71.5,92.9,14,CMP-B,0
NT-000025,Masculino,57.0,Oriente,Masivo,Anual,19,127.66,2114.01,Fibra,Sí,Sí,1,0,Efectivo,6,48.5,52.7,11,CMP-C,0
NT-000026,Femenino,61.0,Lima,Masivo,Mensual,8,117.03,825.5,Fibra,No,Sí,1,0,Transferencia,3,92.3,60.0,15,CMP-B,0
